Company / Author,Quote / Details,Categories,Scraped At
Albert Einstein,The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.,"change, deep-thoughts, thinking, world",2026-07-21 18:50:56
J.K. Rowling,"It is our choices, Harry, that show what we truly are, far more than our abilities.","abilities, choices",2026-07-21 18:50:57
Albert Einstein,There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,"inspirational, life, live, miracle, miracles",2026-07-21 18:50:57
Jane Austen,"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.","aliteracy, books, classic, humor",2026-07-21 18:50:57
Marilyn Monroe,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.","be-yourself, inspirational",2026-07-21 18:50:57
Albert Einstein,Try not to become a man of success. Rather become a man of value.,"adulthood, success, value",2026-07-21 18:50:57
André Gide,It is better to be hated for what you are than to be loved for what you are not.,"life, love",2026-07-21 18:50:58
Thomas A. Edison,"I have not failed. I've just found 10,000 ways that won't work.","edison, failure, inspirational, paraphrased",2026-07-21 18:50:58
Eleanor Roosevelt,A woman is like a tea bag; you never know how strong it is until it's in hot water.,misattributed-eleanor-roosevelt,2026-07-21 18:50:58
Steve Martin,"A day without sunshine is like, you know, night.","humor, obvious, simile",2026-07-21 18:50:58
